"LOC","MODEL","VERSION","MAC","IP","CHANNEL","NAME","ASSET.TAG","ASSET.UID","Mx","PART.","MFG","SWITCH.IP","SWITCH.PORT","DESC","LOC.DESC","ERROR"
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","A6","PRESTRANS",30000000022113,43719,"Y","CA07150000","","10.110.48.60",9,"Assembly Pressure Transducer 0-3000psi and Cable Small","Central Plains ECSE Zero Air Cylinder Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","A7","PRESTRANS",30000000022112,43720,"Y","CA07150000","","10.110.48.60",9,"Assembly Pressure Transducer 0-3000psi and Cable Small","Central Plains ECSE Archive CO2",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","A8","PRESTRANS",30000000022114,43718,"Y","CA07150000","","10.110.48.60",9,"Assembly Pressure Transducer 0-3000psi and Cable Small","Central Plains ECSE H2O Analyzer Zero Air",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","A9","PRESTRANS",30000000022110,43716,"Y","CA07150000","","10.110.48.60",9,"Assembly Pressure Transducer 0-3000psi and Cable Small","Central Plains ECSE Low CO2",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","A10","PRESTRANS",30000000022111,43717,"Y","CA07150000","","10.110.48.60",9,"Assembly Pressure Transducer 0-3000psi and Cable Small","Central Plains ECSE Medium CO2",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","A11","PRESTRANS",30000000022109,43715,"Y","CA07150000","","10.110.48.60",9,"Assembly Pressure Transducer 0-3000psi and Cable Small","Central Plains ECSE High CO2",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","SIO1","PICARRO3WAY",30000000012008,25238,"Y","","NEON","10.110.48.60",9,"Assembly Solenoid Interface Isolated","Central Plains Isotopic H2O 3 Way Valve Interface",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","T1","ALICATCONT",30000000014483,24594,"Y","0341500000","ALICAT","10.110.48.60",9,"Controller Mass Flow 5 SLPM ID Eeprom","Central Plains ECSE Validation Mass Flow Controller",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","DIO","SOLENOID",30000000010633,20866,"Y"," ","NEON","10.110.48.60",9,"Harness Grape Digital Out 8 Solenoid Control","Central Plains ECSE Validation Solenoids",""
"H1","CB06850000","01.01.06","7C:E0:44:00:22:0B","10.110.49.206","MIO1","EXTDACA",30000000013088,26158,"Y"," ","NEON","10.110.48.60",9,"Assembly 24VDC Pump and Control","Central Plains Vacuum Pump IRGA",""
"H1","","","00:20:4A:9D:5A:CF","10.110.49.48","","UPS",30000000016495,23000,"Y","","EATON","10.110.48.60",10,"Remote Thermometer Hygrometer Barometer with PoE","",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","A6","PRESTRANS",30000000022043,43684,"Y","CA07140000","","10.110.48.60",11,"Assembly Pressure Transducer 0-100psi and Cable Small","Central Plains ECSE Zero Air Regulator Out Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","A7","PRESTRANS",30000000022080,43689,"Y","CA07140000","","10.110.48.60",11,"Assembly Pressure Transducer 0-100psi and Cable Small","Central Plains ECSE Archive CO2 Regulator Out Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","A8","PRESTRANS",30000000022078,43686,"Y","CA07140000","","10.110.48.60",11,"Assembly Pressure Transducer 0-100psi and Cable Small","Central Plains ECSE H2O Analyzer Zero Air Regulator Out Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","A9","PRESTRANS",30000000022077,43688,"Y","CA07140000","","10.110.48.60",11,"Assembly Pressure Transducer 0-100psi and Cable Small","Central Plains ECSE Low CO2 Regulator Out Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","A10","PRESTRANS",30000000022081,43685,"Y","CA07140000","","10.110.48.60",11,"Assembly Pressure Transducer 0-100psi and Cable Small","Central Plains ECSE Medium CO2 Regulator Out Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","A11","PRESTRANS",30000000022079,43687,"Y","CA07140000","","10.110.48.60",11,"Assembly Pressure Transducer 0-100psi and Cable Small","Central Plains ECSE High CO2 Regulator Out Pressure",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","T1","LI840A",30000000009459,25311,"Y","CD08340000","LI-COR","10.110.48.60",11,"Assembly IRGA Sensor and EPROM DB9 Serial Adaptor","Central Plains CO2 IRGA",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","T2","ALICATCONT",30000000014744,22685,"Y","0341570000","ALICAT","10.110.48.60",11,"Controller Mass Flow 5 SLPM Whisper Series EEPROM","Central Plains Sample Mass Flow Controller",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:DB","10.110.49.201","DIO","SOLENOID",30000000010816,20826,"Y"," ","NEON","10.110.48.60",11,"Harness Grape Digital Out 8 Solenoid Control","Central Plains CO2 IRGA Sample Solenoids",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:5A","10.110.49.202","T1","ALICATMETER",30000000001053,13993,"Y","0341530000","ALICAT","10.110.48.60",13,"Meter Mass Flow 20 SLPM Whisper Series ID EEPROM","Central Plains Flow Meter ML2",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:5A","10.110.49.202","T2","ALICATMETER",30000000001052,14005,"Y","0341530000","ALICAT","10.110.48.60",13,"Meter Mass Flow 20 SLPM Whisper Series ID EEPROM","Central Plains Flow Meter ML1",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:5A","10.110.49.202","DIO","SOLENOID",30000000011163,19519,"Y"," ","NEON","10.110.48.60",13,"Harness Grape Digital Out 8 Solenoid Control","Central Plains Isotopic H2O Sample Solenoids",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:5A","10.110.49.202","MIO1","EXTDACA",30000000013084,26138,"Y"," ","NEON","10.110.48.60",13,"Assembly 24VDC Pump and Control","Central Plains Vacuum Pump ML2",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:5A","10.110.49.202","MIO2","EXTDACA",30000000013082,26137,"Y"," ","NEON","10.110.48.60",13,"Assembly 24VDC Pump and Control","Central Plains Vacuum Pump ML1",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:A4","10.110.49.196","T1","ALICATMETER",30000000001055,14998,"Y","0341530000","ALICAT","10.110.48.60",15,"Meter Mass Flow 20 SLPM Whisper Series ID EEPROM","Central Plains Flow Meter ML4",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:A4","10.110.49.196","T2","ALICATMETER",30000000001054,15003,"Y","0341530000","ALICAT","10.110.48.60",15,"Meter Mass Flow 20 SLPM Whisper Series ID EEPROM","Central Plains Flow Meter ML3",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:A4","10.110.49.196","DIO","SOLENOID",30000000010556,19522,"Y"," ","NEON","10.110.48.60",15,"Harness Grape Digital Out 8 Solenoid Control","Central Plains Isotopic CO2 Sample Solenoids",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:A4","10.110.49.196","MIO1","EXTDACA",30000000013081,26140,"Y"," ","NEON","10.110.48.60",15,"Assembly 24VDC Pump and Control","Central Plains Vacuum Pump ML4",""
"H1","CB06850000","01.01.06","7C:E0:44:00:1C:A4","10.110.49.196","MIO2","EXTDACA",30000000013083,26139,"Y"," ","NEON","10.110.48.60",15,"Assembly 24VDC Pump and Control","Central Plains Vacuum Pump ML3",""
